"대권역","관측소 명","폐쇄 여부","관측 기종","관측소 코드","관할 기관","행정구역"
"한강","대관령","운영","1","10011100","기상청","(산간)강원도 평창군 "
"한강","정선군","운영","1","10011217","기상청","강원도 정선군 "
"한강","영월","운영","1","10021121","기상청","강원도 영월군 "
"한강","제천","운영","1","10031221","기상청","충청북도 제천시 "
"한강","충주","운영","1","10041127","기상청","충청북도 충주시 "
"한강","원주","운영","1","10061114","기상청","강원도 원주시 "
"한강","양평","운영","1","10071202","기상청","경기도 양평군 "
"한강","이천","운영","1","10071203","기상청","경기도 이천시 "
"한강","인제","운영","1","10121211","기상청","강원도 인제군 "
"한강","북춘천","운영","2","10131093","기상청","강원도 춘천시 "
"한강","춘천","운영","1","10131101","기상청","강원도 춘천시 "
"한강","홍천","운영","1","10141212","기상청","강원도 홍천군 "
"한강","서울","운영","1","10181108","기상청","서울특별시 종로구 "
"한강","철원","운영","1","10221095","기상청","강원도 철원군 "
"한강","동두천","운영","1","10221098","기상청","경기도 동두천시 "
"한강","파주","운영","1","10231099","기상청","경기도 파주시 "
"안성천","수원","운영","1","11011119","기상청","경기도 수원시 "
"한강서해","백령도","운영","1","12011102","기상청","인천광역시 옹진군 "
"한강서해","인천","운영","1","12011112","기상청","인천광역시 중구 "
"한강서해","강화","운영","1","12011201","기상청","인천광역시 강화군 "
"한강동해","속초","운영","1","13011090","기상청","강원도 고성군 "
"한강동해","북강릉","운영","1","13021104","기상청","강원도 강릉시 "
"한강동해","강릉","운영","1","13021105","기상청","강원도 강릉시 "
"한강동해","동해","운영","1","13021106","기상청","강원도 동해시 "